customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
7590-02141,Female,0,No,Yes,53,Yes,Yes,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,29.16,Yes,1437.77
7590-02142,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),63.22,No,1082.39
7590-02143,Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),91.2,No,2761.34
7590-02144,Male,0,No,No,7,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),75.23,No,582.58
7590-02145,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,51.34,No,1143.47
7590-02146,Male,0,Yes,No,52,Yes,No,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,49.24,No,2748.93
7590-02147,Male,0,No,No,63,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),86.43,No,5786.38
7590-02148,Female,0,Yes,No,57,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,81.73,No,4947.83
7590-02149,Male,1,Yes,No,36,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No,One year,No,Electronic check,77.77,Yes,3111.23
7590-02150,Male,0,No,No,11,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),113.93,Yes,1371.09
7590-02151,Male,0,No,No,3,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.18,Yes,315.27
7590-02152,Male,0,Yes,No,30,Yes,No,No,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,49.81,No,1358.04
7590-02153,Male,0,No,No,37,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,No,Mailed check,43.27,No,1624.87
7590-02154,Female,1,Yes,No,36,No,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),110.98,No,3747.45
7590-02155,Female,0,No,Yes,13,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,No,Mailed check,39.18,Yes,467.1
7590-02156,Female,0,No,No,72,Yes,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,116.45,No,8185.23
7590-02157,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,One year,No,Credit card (automatic),39.9,Yes,915.73
7590-02158,Female,0,Yes,Yes,9,Yes,Yes,No,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,29.13,No,233.19
7590-02159,Male,0,Yes,No,37,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,57.51,No,2372.59
7590-02160,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,108.8,Yes,3917.65
7590-02161,Male,0,No,Yes,36,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No,One year,No,Electronic check,91.75,No,3707.15
7590-02162,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),78.41,No,2803.19
7590-02163,Female,1,Yes,No,31,Yes,Yes,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),88.76,Yes,2807.29
7590-02164,Female,1,Yes,No,13,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,70.53,No,786.21
7590-02165,Male,0,Yes,No,3,Yes,No,No,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,50.19,No,164.9
7590-02166,Female,0,Yes,Yes,23,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,68.2,No,1678.83
7590-02167,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,56.42,No,499.33
7590-02168,Female,0,No,Yes,15,Yes,No,DSL,No,Yes,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,95.44,No,1602.58
7590-02169,Female,1,No,No,38,No,No,No,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),35.01,Yes,1255.33
7590-02170,Male,0,No,No,17,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,63.46,Yes,989.01
7590-02171,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,28.97,No,637.44
7590-02172,Male,0,No,No,6,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,22.6,No,132.09
7590-02173,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,41.61,No,2217.72
7590-02174,Male,1,Yes,No,46,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),34.43,No,1437.9
7590-02175,Male,1,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),96.83,Yes,220.64
7590-02176,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,One year,No,Mailed check,34.37,Yes,34.37
7590-02177,Female,0,No,Yes,32,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),85.82,No,3008.85
7590-02178,Male,1,No,No,70,No,Yes,No,No,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,68.79,No,4520.16
7590-02179,Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),54.54,No,3289.36
7590-02180,Female,0,No,No,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.45,No,1513.72
7590-02181,Male,0,Yes,No,31,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.15,No,1886.69
7590-02182,Male,0,Yes,No,16,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,75.4,No,1023.21
7590-02183,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),30.08,Yes,422.07
7590-02184,Male,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,109.67,Yes,2292.71
7590-02185,Male,0,Yes,No,54,Yes,No phone service,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),29.39,Yes,1579.3
7590-02186,Male,1,No,No,5,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,101.72,No,575.97
7590-02187,Female,0,No,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,96.97,No,5317.37
7590-02188,Female,0,No,No,25,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,107.16,Yes,2225.36
7590-02189,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Credit card (automatic),28.92,No,748.62
7590-02190,Female,0,No,No,71,Yes,No,No,No,No,No internet service,No,No internet service,No,Two year,No,Electronic check,64.5,Yes,5339.48
7590-02191,Male,0,No,Yes,43,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,49.86,No,2164.92
7590-02192,Female,0,No,Yes,58,Yes,No,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.16,No,4057.89
7590-02193,Male,0,No,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,37.06,No,1161.23
7590-02194,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),27.29,No,485.72
7590-02195,Female,0,Yes,No,17,Yes,No,No,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),40.24,No,676.09
7590-02196,Male,0,No,Yes,39,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,117.94,No,5364.79
7590-02197,Female,0,Yes,No,62,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,43.88,Yes,2794.52
7590-02198,Female,0,No,No,44,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.05,No,2016.8
7590-02199,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No,One year,No,Electronic check,90.8,Yes,176.18
7590-02200,Male,0,Yes,No,2,Yes,No,No,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),49.58,Yes,100.42
7590-02201,Female,0,No,Yes,37,Yes,Yes,No,No internet service,No,No,No,Yes,Yes,Two year,No,Mailed check,71.36,No,2326.94
7590-02202,Male,0,Yes,No,72,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,93.71,Yes,6144.01
7590-02203,Male,0,Yes,Yes,39,Yes,No,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.9,No,1918.85
7590-02204,Male,0,Yes,No,67,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,54.5,No,3133.12
7590-02205,Male,1,No,No,53,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,40.69,Yes,1855.16
7590-02206,Male,0,No,Yes,19,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.62,Yes,1482.67
7590-02207,Female,0,No,No,14,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,118.04,No,1928.34
7590-02208,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.52,Yes,114.06
7590-02209,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),59.16,No,2620.54
7590-02210,Male,0,Yes,Yes,39,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,52.75,No,2412.33
7590-02211,Male,0,Yes,No,6,Yes,No,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,53.91,No,291.51
7590-02212,Female,0,No,No,71,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,70.93,No,5565.37
7590-02213,Male,0,No,Yes,32,No,No phone service,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.45,No,2684.95
7590-02214,Female,0,Yes,No,36,Yes,No phone service,No,No,Yes,No,No,Yes,No,One year,No,Mailed check,67.62,No,1947.47
7590-02215,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.77,No,3324.52
7590-02216,Female,0,Yes,No,42,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No internet service,One year,Yes,Electronic check,24.61,Yes,1113.33
7590-02217,Male,0,No,No,62,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),98.72,No,6623.19
7590-02218,Female,0,Yes,No,35,Yes,No,DSL,No,No internet service,Yes,No internet service,No,No,Two year,No,Credit card (automatic),106.96,Yes,4122.38
7590-02219,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),78.3,No,3443.28
7590-02220,Female,0,Yes,Yes,24,Yes,No,No,Yes,No,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),50.39,Yes,1218.75
7590-02221,Male,0,No,No,65,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),65.87,No,4095.54
7590-02222,Female,0,No,Yes,8,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),78.09,No,665.16
7590-02223,Male,0,Yes,No,17,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Electronic check,98.28,No,1713.32
7590-02224,Female,0,No,No,21,No,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,97.03,No,1728.01
7590-02225,Male,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,One year,No,Electronic check,53.15,No,692.69
7590-02226,Male,0,No,No,6,No,Yes,No,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,61.77,Yes,361.71
7590-02227,Male,0,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,95.16,No,1093.35
7590-02228,Male,0,No,Yes,35,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.3,No,2182.01
7590-02229,Female,1,Yes,Yes,15,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.09,Yes,1000.95
7590-02230,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Two year,No,Mailed check,117.43,No,4631.99
7590-02231,Male,0,No,No,20,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,102.73,No,1773.22
7590-02232,Female,1,Yes,No,27,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,40.16,No,916.58
7590-02233,Male,0,Yes,No,16,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,59.64,No,839.99
7590-02234,Male,0,Yes,No,64,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Mailed check,73.05,No,5448.12
7590-02235,Female,0,Yes,No,12,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,One year,Yes,Bank transfer (automatic),78.36,No,761.44
7590-02236,Male,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),48.18,No,1958.82
7590-02237,Male,0,Yes,Yes,57,No,No,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,110.68,No,6487.77
7590-02238,Female,0,No,No,19,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,109.69,Yes,2376.21
7590-02239,Male,0,No,No,51,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,34.72,No,1895.18
7590-02240,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,111.69,No,471.19
7590-02241,Male,1,No,No,22,Yes,No phone service,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),63.01,No,1349.6
7590-02242,Male,1,No,No,41,No,Yes,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),62.29,No,2987.84
7590-02243,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),36.62,No,974.5
7590-02244,Female,0,Yes,Yes,4,No,No phone service,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),26.68,No,123.09
7590-02245,Female,0,No,Yes,31,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,43.22,Yes,1430.03
7590-02246,Male,1,No,Yes,45,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,106.7,Yes,4368.23
7590-02247,Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,59.15,Yes,1091.1
7590-02248,Female,0,Yes,No,26,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,110.67,No,3419.54
7590-02249,Male,0,Yes,No,67,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),78.52,Yes,4524.03
7590-02250,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.08,No,402.47
7590-02251,Male,0,Yes,No,33,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,51.5,Yes,1464.58
7590-02252,Male,0,No,Yes,20,Yes,No,DSL,No,Yes,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,31.07,Yes,737.26
7590-02253,Female,0,Yes,No,21,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,93.17,No,1694.37
7590-02254,Female,0,Yes,No,64,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Two year,No,Bank transfer (automatic),86.29,No,5633.18
7590-02255,Female,0,Yes,No,31,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,41.21,Yes,1439.52
7590-02256,Male,0,No,No,61,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,39.21,No,2114.95
7590-02257,Female,1,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),108.95,No,2807.22
7590-02258,Female,1,Yes,No,6,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,30.05,No,158.61
7590-02259,Male,1,No,Yes,53,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),21.57,Yes,1293.89
7590-02260,Male,1,No,Yes,69,Yes,Yes,No,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.06,No,3374.98
7590-02261,Female,0,Yes,No,13,No,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.91,No,962.1
7590-02262,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,110.62,No,6490.16
7590-02263,Female,0,No,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.86,Yes,7376.03
7590-02264,Female,1,No,No,43,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),32.28,No,1298.92
7590-02265,Male,0,Yes,No,45,No,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,97.34,No,3589.5
7590-02266,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,112.16,Yes,1602.85
7590-02267,Female,0,Yes,Yes,43,Yes,Yes,No,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),102.02,No,4959.13
7590-02268,Male,0,No,Yes,40,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.88,No,2620.79
7590-02269,Female,0,Yes,No,72,No,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,39.13,No,2800.54
7590-02270,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,No,Mailed check,110.27,No,98.76
7590-02271,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.72,No,277.17
7590-02272,Male,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,43.69,Yes,413.83
7590-02273,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),50.76,No,2445.56
7590-02274,Female,0,Yes,Yes,34,Yes,No,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,74.7,No,2078.62
7590-02275,Male,1,No,No,18,Yes,Yes,No,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,59.07,No,915.47
7590-02276,Female,0,Yes,No,62,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,22.27,Yes,1436.51
7590-02277,Female,0,No,Yes,7,Yes,Yes,No,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),75.98,Yes,562.82
7590-02278,Male,0,No,No,22,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),59.04,No,1278.69
7590-02279,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),65.83,No,688.13
7590-02280,Female,0,No,Yes,22,Yes,No,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,93.89,No,1883.48
7590-02281,Male,0,No,No,30,Yes,Yes,No,No internet service,No,No,No,No internet service,No,Two year,No,Credit card (automatic),20.83,No,566.47
7590-02282,Female,0,Yes,Yes,29,Yes,No phone service,DSL,No,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,24.85,No,660.98
7590-02283,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,18.35,No,619.87
7590-02284,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),60.93,No,48.92
7590-02285,Female,0,Yes,No,10,Yes,Yes,DSL,No,No internet service,No,Yes,No,No,One year,Yes,Electronic check,46.44,No,372.87
7590-02286,Male,0,No,No,24,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Electronic check,59.4,Yes,1257.11
7590-02287,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,76.26,Yes,1895.42
7590-02288,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,19.09,No,384.79
7590-02289,Male,1,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),34.17,No,622.7
7590-02290,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,31.08,No,2644.96
7590-02291,Female,0,No,Yes,40,Yes,Yes,No,Yes,No,Yes,No,No internet service,No,Two year,Yes,Credit card (automatic),80.68,No,2838.87
7590-02292,Male,0,Yes,No,37,Yes,No phone service,DSL,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Electronic check,77.67,No,3157.25
7590-02293,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,26.04,No,613.15
7590-02294,Female,0,No,Yes,21,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),98.81,No,2268.1
7590-02295,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),34.43,No,234.19
7590-02296,Male,0,No,No,46,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),35.64,Yes,1736.66
7590-02297,Male,0,No,No,5,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,58.72,Yes,341.03
7590-02298,Male,0,No,No,6,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,51.61,No,336.54
7590-02299,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,115.24,No,4302.12
7590-02300,Male,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),109.44,No,871.07
7590-02301,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),23.36,Yes,1008.34
7590-02302,Male,1,No,No,63,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.64,Yes,3514.61
7590-02303,Male,0,No,No,30,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,97.0,Yes,2880.73
7590-02304,Male,0,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),81.49,No,1999.7
7590-02305,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,95.8,No,6625.44
7590-02306,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,59.17,Yes,2851.73
7590-02307,Female,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),57.34,No,2733.61
7590-02308,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,95.35,No,4419.06
7590-02309,Male,0,No,No,9,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,47.59,No,424.32
7590-02310,Female,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,24.04,No,446.21
7590-02311,Female,1,No,Yes,15,Yes,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),107.73,No,1717.29
7590-02312,Male,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),113.33,Yes,184.45
7590-02313,Male,0,No,No,29,Yes,Yes,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.71,Yes,2563.84
7590-02314,Male,1,Yes,No,17,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,92.31,No,1363.84
7590-02315,Male,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Mailed check,87.55,No,4713.64
7590-02316,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,72.19,No,4402.5
